,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
60,,,,2015-09-23,263668,0,0.554,0.428,0.554,0.577,0.0,0.106,-6.625,0.0329,139.968,4,Hip-Hop,Hindi,2015
61,"Dooriyan (From ""Love Aaj Kal"")",Love Aaj Kal,Pritam,2009-06-27,337360,47,0.517,0.611,0.517,0.716,0.0,0.11,-6.582,0.0509,122.952,4,Hip-Hop,Hindi,2009
62,"Pani Da Rang Male (From ""Vicky Donor"")",Vicky Donor,Various Artists,2012-04-04,240786,45,0.679,0.272,0.679,0.622,6.52e-05,0.106,-8.514,0.0328,98.028,4,Hip-Hop,Hindi,2012
63,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")","Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",Pritam,2016-10-26,269032,55,0.495,0.713,0.495,0.654,0.0,0.165,-6.639,0.0679,123.896,4,Hip-Hop,Hindi,2016
64,"Piya O Re Piya (From ""Tere Naal Love Ho Gaya"")",Atif Hit Story,Atif Aslam,2013-03-05,292746,0,0.439,0.269,0.439,0.574,0.0,0.094,-6.394,0.0846,167.832,4,Hip-Hop,Hindi,2013
65,"Jeene Laga Hoon (From ""Ramaiya Vastavaiya"")",Yours Truly,Atif Aslam,2014-09-02,236933,0,0.533,0.166,0.533,0.73,0.000179,0.138,-7.901,0.0427,90.315,4,Hip-Hop,Hindi,2014
66,"Tu Jaane Na (From ""Ajab Prem Ki Ghazab Kahani"")",Yours Truly,Atif Aslam,2014-09-02,341933,0,0.702,0.36,0.702,0.86,1.33e-06,0.133,-3.969,0.0346,120.045,4,Hip-Hop,Hindi,2014
67,"Kuch Is Tarah (From ""Doorie"")",Yours Truly,Atif Aslam,2014-09-02,314066,0,0.647,0.839,0.647,0.494,9.21e-06,0.116,-7.214,0.0232,96.997,4,Hip-Hop,Hindi,2014
68,"Tere Bin (From ""Bas Ek Pal"")",Yours Truly,Atif Aslam,2014-09-02,275986,0,0.296,0.453,0.296,0.796,9.01e-06,0.0869,-4.846,0.0742,87.845,4,Hip-Hop,Hindi,2014
69,"Bakhuda Tumhi Ho (From ""Kismat Konnection"")",Yours Truly,Atif Aslam,2014-09-02,292493,0,0.322,0.633,0.322,0.752,0.0,0.129,-3.457,0.0422,126.949,4,Hip-Hop,Hindi,2014
70,"Hona Tha Pyar (From ""Bol"")",Yours Truly,Atif Aslam,2014-09-02,221003,0,0.689,0.571,0.689,0.542,0.0307,0.148,-8.673,0.0308,102.981,4,Hip-Hop,Hindi,2014
71,"Shaayraana (From ""Holiday"")",Arijit Singh: My Favourites,Arijit Singh,2015-09-25,261439,0,0.608,0.606,0.608,0.665,1.46e-05,0.0832,-4.244,0.0482,93.919,4,Hip-Hop,Hindi,2015
72,"Samjhawan (From ""Humpty Sharma Ki Dulhania"")",Arijit Singh: My Favourites,Arijit Singh,2015-09-25,269184,0,0.65,0.293,0.65,0.482,0.0,0.0811,-8.667,0.0281,106.994,4,Hip-Hop,Hindi,2015
73,"Ashq Na Ho (From ""Holiday"")",Arijit Singh: My Favourites,Arijit Singh,2015-09-25,353103,0,0.438,0.904,0.438,0.376,0.0,0.0924,-6.292,0.0329,173.944,4,Hip-Hop,Hindi,2015
74,"Baatein Ye Kabhi Na (From ""Khamoshiyan"") - Male",Arijit Singh: My Favourites,Arijit Singh,2015-09-25,289012,0,0.558,0.704,0.558,0.506,3.05e-06,0.0896,-6.761,0.0236,90.001,4,Hip-Hop,Hindi,2015
75,"Blame the Night (From ""Holiday"")",Arijit Singh: My Favourites,Arijit Singh,2015-09-25,265018,0,0.608,0.177,0.608,0.985,1.99e-06,0.715,-3.293,0.14,139.986,4,Hip-Hop,Hindi,2015
76,"Tanhaai (From ""Karle Pyaar Karle"")",Arijit Singh: My Favourites,Arijit Singh,2015-09-25,297240,0,0.536,0.00563,0.536,0.926,0.000415,0.589,-6.079,0.0587,135.01,4,Hip-Hop,Hindi,2015
77,,,,2015-09-23,280229,0,0.515,0.475,0.515,0.577,1.51e-06,0.464,-6.767,0.0297,90.001,4,Hip-Hop,Hindi,2015
78,,,,2015-09-23,250815,0,0.716,0.809,0.716,0.363,0.0,0.0954,-8.196,0.0293,103.978,4,Hip-Hop,Hindi,2015
79,,,,2015-09-23,262152,0,0.519,0.831,0.519,0.442,0.0,0.125,-6.318,0.0257,93.931,4,Hip-Hop,Hindi,2015
80,,,,2015-09-23,265026,0,0.616,0.173,0.616,0.757,0.0,0.154,-4.788,0.0554,128.035,4,Hip-Hop,Hindi,2015
81,,,,2015-09-23,223726,0,0.578,0.408,0.578,0.563,0.0,0.17,-5.897,0.0264,84.0,4,Hip-Hop,Hindi,2015
82,,,,2015-09-23,244650,0,0.661,0.714,0.661,0.557,4.98e-05,0.103,-8.193,0.0289,117.995,4,Hip-Hop,Hindi,2015
83,,,,2015-09-23,282345,0,0.56,0.864,0.56,0.213,0.0293,0.0819,-15.448,0.0363,137.92,4,Hip-Hop,Hindi,2015
84,,,,2015-09-23,219364,0,0.652,0.809,0.652,0.529,0.0,0.133,-7.146,0.0315,109.977,4,Hip-Hop,Hindi,2015
85,,,,2015-09-23,254185,0,0.413,0.435,0.413,0.339,0.000723,0.123,-13.363,0.0366,118.18,4,Hip-Hop,Hindi,2015
86,,,,2015-09-23,325081,0,0.556,0.0233,0.556,0.782,0.0,0.476,-4.739,0.0303,114.945,4,Hip-Hop,Hindi,2015
87,Badlapur Mashup,"Badlapur Mashup (From ""Badlapur"")",Various Artists,2015-02-24,169090,31,0.67,0.119,0.67,0.779,0.0,0.145,-4.437,0.0347,131.939,4,Hip-Hop,Hindi,2015
88,"Judaai (From ""Badlapur)",Badlapur (Original Motion Picture Soundtrack),Sachin-Jigar,2015-01-23,271379,30,0.343,0.745,0.343,0.373,1.2e-05,0.14,-9.363,0.0607,92.957,5,Hip-Hop,Hindi,2015
89,"Jee Karda (From ""Badlapur)",Badlapur (Original Motion Picture Soundtrack),Sachin-Jigar,2015-01-23,240999,8,0.547,0.157,0.547,0.705,0.0,0.109,-7.873,0.0356,140.008,4,Hip-Hop,Hindi,2015
90,Jeena Jeena (Remix),Badlapur (Original Motion Picture Soundtrack),Sachin-Jigar,2015-01-23,218619,13,0.668,0.0954,0.668,0.761,0.000252,0.0915,-6.444,0.0329,125.019,4,Hip-Hop,Hindi,2015
91,"Jeene Laga Hoon (From ""Ramaiya Vastavaiya"")",Ramaiya Vastavaiya (Original Motion Picture Soundtrack),Sachin-Jigar,2013-05-15,231673,0,0.562,0.144,0.562,0.735,0.000204,0.177,-7.924,0.0445,90.057,4,Hip-Hop,Hindi,2013
92,Saibo,Shor in the City (Original Motion Picture Soundtrack),Sachin-Jigar,2011-03-28,195253,61,0.619,0.736,0.619,0.428,1.27e-05,0.136,-7.867,0.0281,90.056,4,Hip-Hop,Hindi,2011
93,Char Baj Gaye - Party Abhi Baaki Hai,F.A.L.T.U (Original Motion Picture Soundtrack),Sachin-Jigar,2011-06-08,213880,44,0.95,0.0317,0.95,0.694,1.93e-06,0.137,-7.089,0.0516,119.972,4,Hip-Hop,Hindi,2011
94,"Hip Hop Pammi (From ""Ramaiya Vastavaiya"")",Ramaiya Vastavaiya (Original Motion Picture Soundtrack),Sachin-Jigar,2013-05-15,220440,0,0.556,0.0718,0.556,0.839,2.78e-05,0.107,-6.037,0.138,110.005,4,Hip-Hop,Hindi,2013
95,"Jaise Mera Tu (From ""Happy Ending"")",Happy Ending (Original Motion Picture Soundtrack),Sachin-Jigar,2014-10-22,256002,30,0.49,0.354,0.49,0.667,0.000117,0.0968,-7.84,0.0473,149.843,3,Hip-Hop,Hindi,2014
96,"Khamma Ghani (From ""Happy Ending"")",Happy Ending (Original Motion Picture Soundtrack),Sachin-Jigar,2014-10-22,270013,20,0.608,0.553,0.608,0.59,0.0,0.11,-6.978,0.0362,79.977,4,Hip-Hop,Hindi,2014
97,Faltu,F.A.L.T.U (Original Motion Picture Soundtrack),Sachin-Jigar,2011-06-08,283613,30,0.791,0.0265,0.791,0.785,0.000185,0.365,-3.49,0.0504,132.017,4,Hip-Hop,Hindi,2011
98,,,,2015-05-22,217888,0,0.401,0.564,0.401,0.665,0.000328,0.136,-8.405,0.0499,72.499,4,Hip-Hop,Hindi,2015
99,Gora Gora Rang,Unforgettable,Imran Khan,2009-07-27,265640,0,0.602,0.0102,0.602,0.777,0.0,0.157,-5.928,0.0318,84.986,4,Hip-Hop,Hindi,2009
0,Maahi Ve,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,366853,57,0.815,0.0297,0.815,0.833,2e-05,0.33,-6.117,0.0769,99.989,4,Throwback,Hindi,2003
1,Main Hoon Na,Main Hoon Na,Anu Malik,2004-02-27,361066,51,0.48,0.284,0.48,0.681,0.0,0.125,-8.002,0.163,88.003,4,Throwback,Hindi,2004
2,Tumhe Jo Maine Dekha,Main Hoon Na,Anu Malik,2004-02-27,341146,48,0.734,0.432,0.734,0.903,0.00569,0.2,-3.972,0.0649,102.009,4,Throwback,Hindi,2004
3,Chale Jaise Hawaien,Main Hoon Na,Anu Malik,2004-02-27,324053,47,0.75,0.0755,0.75,0.861,0.00586,0.202,-11.029,0.0613,117.593,4,Throwback,Hindi,2004
4,Ye Fizaein,Main Hoon Na,Anu Malik,2004-02-27,317320,33,0.709,0.0657,0.709,0.701,4.95e-05,0.233,-7.334,0.0398,119.982,4,Throwback,Hindi,2004
5,Main Hoon Na(Sad),Main Hoon Na,Anu Malik,2004-02-27,255493,40,0.578,0.219,0.578,0.482,0.0,0.55,-10.503,0.0378,139.831,4,Throwback,Hindi,2004
6,Gori Gori Gori Gori,Main Hoon Na,Anu Malik,2004-02-27,268800,46,0.787,0.0726,0.787,0.866,0.00292,0.284,-7.016,0.0436,101.009,4,Throwback,Hindi,2004
7,Tumse Milke Dil Ka,Main Hoon Na,Anu Malik,2004-02-27,359253,53,0.853,0.0642,0.853,0.745,1.87e-06,0.0274,-8.636,0.109,107.985,4,Throwback,Hindi,2004
8,Chale Jaise Hawayein (Remix),Main Hoon Na,Anu Malik,2004-02-27,247080,30,0.681,0.00305,0.681,0.896,0.0118,0.227,-6.501,0.0631,134.987,4,Throwback,Hindi,2004
9,It's the Time to Disco,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,333093,53,0.902,0.0452,0.902,0.772,0.000129,0.12,-8.29,0.0383,131.992,4,Throwback,Hindi,2003
10,Pretty Woman,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,353880,51,0.677,0.124,0.677,0.942,0.0132,0.0819,-6.105,0.16,173.991,4,Throwback,Hindi,2003
11,Kal Ho Naa Ho,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,321240,61,0.532,0.334,0.532,0.529,0.000144,0.078,-8.402,0.0352,81.989,4,Throwback,Hindi,2003
12,Kuch To Hua Hai,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,319560,48,0.674,0.128,0.674,0.661,2.03e-05,0.283,-7.973,0.0619,95.966,4,Throwback,Hindi,2003
13,Kal Ho Naa Ho - Sad,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,335160,49,0.585,0.347,0.585,0.467,0.000201,0.0878,-7.957,0.0307,77.985,4,Throwback,Hindi,2003
14,Heartbeat - Instrumental,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,263626,43,0.517,0.599,0.517,0.285,0.461,0.0842,-11.239,0.0294,139.93,4,Throwback,Hindi,2003
15,Dil Chahta Hai,Dil Chahta Hai,Shankar-Ehsaan-Loy,2001-06-22,310080,51,0.813,0.0906,0.813,0.554,1.23e-06,0.0629,-9.105,0.04,103.953,4,Throwback,Hindi,2001
16,Jaane Kyon Log Pyar,Dil Chahta Hai,Shankar-Ehsaan-Loy,2001-06-22,289386,45,0.607,0.0185,0.607,0.526,0.00173,0.227,-9.111,0.066,190.019,4,Throwback,Hindi,2001
17,Woh Ladki Hai Kahan,Dil Chahta Hai,Shankar-Ehsaan-Loy,2001-06-22,306133,48,0.786,0.172,0.786,0.677,0.000104,0.0446,-8.624,0.183,94.985,4,Throwback,Hindi,2001
18,Koi Kahe Kehta Rahe,Dil Chahta Hai,Shankar-Ehsaan-Loy,2001-06-22,346200,46,0.749,0.00166,0.749,0.734,6.48e-06,0.108,-7.058,0.0594,131.975,4,Throwback,Hindi,2001
19,Jaane Kyon,Dil Chahta Hai (Original Motion Picture Soundtrack),Various Artists,2001-06-23,291410,0,0.599,0.0292,0.599,0.578,7.94e-05,0.143,-7.964,0.0725,189.881,4,Throwback,Hindi,2001
20,Salaam Namaste,Salaam Namaste (Original),Vishal-Shekhar,2005-08-03,276166,44,0.69,0.217,0.69,0.868,0.0,0.325,-6.472,0.0889,96.99,4,Throwback,Hindi,2005
21,My Dil Goes Mmmm,Salaam Namaste (Original),Vishal-Shekhar,2005-08-03,452832,47,0.693,0.343,0.693,0.797,0.00125,0.0673,-7.392,0.0704,90.997,4,Throwback,Hindi,2005
22,Whats Goin' On,Salaam Namaste (Original),Vishal-Shekhar,2005-08-03,280398,32,0.833,0.106,0.833,0.714,2.36e-05,0.315,-6.972,0.0597,105.017,4,Throwback,Hindi,2005
23,Tu Jahaan,Salaam Namaste (Original),Vishal-Shekhar,2005-08-03,315768,35,0.612,0.503,0.612,0.617,0.00513,0.0851,-8.962,0.049,77.967,4,Throwback,Hindi,2005
24,Salaam Namaste (Dhol Mix),Salaam Namaste (Original),Vishal-Shekhar,2005-08-03,233534,22,0.761,0.226,0.761,0.879,0.00455,0.359,-6.241,0.0631,108.007,4,Throwback,Hindi,2005
25,Ladki Kyon,Hum Tum (Original),Jatin-Lalit,2004-04-09,378044,42,0.76,0.639,0.76,0.83,0.0,0.109,-6.868,0.28,93.401,4,Throwback,Hindi,2004
26,Hum Tum,Hum Tum (Original),Jatin-Lalit,2004-04-09,329221,50,0.465,0.381,0.465,0.682,0.00041,0.0801,-8.124,0.0512,164.01,4,Throwback,Hindi,2004
27,Gore Gore,Hum Tum (Original),Jatin-Lalit,2004-04-09,296359,32,0.762,0.153,0.762,0.878,2.35e-05,0.071,-4.999,0.083,100.998,4,Throwback,Hindi,2004
28,Hum Tum (Instrumental),Hum Tum (Original),Jatin-Lalit,2004-04-09,204747,28,0.626,0.0903,0.626,0.568,0.654,0.188,-8.284,0.0332,81.967,4,Throwback,Hindi,2004
29,U-N-I (Mere Dil Vich Hai Hum Tum),Hum Tum (Original),Jatin-Lalit,2004-04-09,217547,37,0.799,0.0195,0.799,0.844,0.0018,0.26,-6.341,0.0578,102.971,4,Throwback,Hindi,2004
