,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
86,SUBEME LA RADIO REMIX (feat. CNCO),SUBEME LA RADIO REMIX (feat. CNCO),Enrique Iglesias,2017-05-12,206933,48,0.702,0.0647,0.702,0.8,0.0,0.212,-3.769,0.0717,91.032,4,Hip-Hop,Spanish,2017
87,A Ella,A Ella,KAROL G,2017-05-05,198720,55,0.73,0.244,0.73,0.769,2.06e-05,0.136,-4.936,0.178,181.931,4,Hip-Hop,Spanish,2017
88,Ahora Que Te Vas,Renacer,Christian Daniel,2015-10-23,228600,53,0.658,0.544,0.658,0.632,0.0,0.162,-4.774,0.0338,139.992,4,Hip-Hop,Spanish,2015
89,Tu Respiración,En Todo Estaré (Deluxe Edition),Chayanne,2014-08-25,250866,54,0.549,0.00481,0.549,0.796,0.0,0.0797,-4.585,0.0309,131.953,4,Hip-Hop,Spanish,2014
90,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,Invicto,Jacob Forever,2017-02-06,215453,60,0.785,0.362,0.785,0.838,6.43e-06,0.139,-5.951,0.0381,100.066,4,Hip-Hop,Spanish,2017
91,Mátame Otra Vez,A Quien Quiera Escuchar (Deluxe Edition),Ricky Martin,2015-02-10,243480,45,0.708,0.174,0.708,0.709,0.0,0.0824,-6.722,0.17,139.813,4,Hip-Hop,Spanish,2015
92,Voy Que Quemo,Voy Que Quemo,Mau y Ricky,2016-04-15,218600,41,0.759,0.035,0.759,0.726,0.00037,0.321,-6.093,0.0828,104.978,4,Hip-Hop,Spanish,2016
93,Para Olvidarte,Para Olvidarte,Mau y Ricky,2016-11-18,257079,0,0.535,0.455,0.535,0.485,0.0,0.112,-6.994,0.0332,84.036,3,Hip-Hop,Spanish,2016
94,Por Fin Te Encontré,Por Fin Te Encontré,Cali Y El Dandee,2015-09-24,250836,70,0.645,0.0492,0.645,0.821,0.0,0.193,-3.679,0.213,179.968,4,Hip-Hop,Spanish,2015
95,Como Mirarte,Como Mirarte,Sebastian Yatra,2015-10-20,227339,56,0.298,0.702,0.298,0.362,0.0,0.28,-7.331,0.0326,83.263,4,Hip-Hop,Spanish,2015
96,Mamasita,Mamasita,Yashua,2017-05-18,161970,26,0.856,0.0934,0.856,0.622,7.51e-05,0.0571,-5.927,0.2,103.006,4,Hip-Hop,Spanish,2017
97,Loca (feat. El Cata),Sale el Sol,Shakira,2010-10-19,183693,67,0.8,0.342,0.8,0.692,1.92e-06,0.0554,-5.57,0.0614,112.002,4,Hip-Hop,Spanish,2010
98,Trap (feat. Maluma),El Dorado,Shakira,2017-05-26,199813,59,0.774,0.556,0.774,0.504,0.0,0.128,-6.843,0.0552,132.009,4,Hip-Hop,Spanish,2017
99,Perro Fiel (feat. Nicky Jam),El Dorado,Shakira,2017-05-26,195213,70,0.75,0.187,0.75,0.76,0.0,0.0548,-4.836,0.198,183.817,4,Hip-Hop,Spanish,2017
0,MAMACITA,MAMACITA,Black Eyed Peas,2020-04-10,249142,90,0.894,0.193,0.894,0.635,0.00105,0.0823,-6.929,0.0473,105.013,4,Hip-Hop,Spanish,2020
1,Yo Perreo Sola,YHLQMDLG,Bad Bunny,2020-02-28,172127,89,0.86,0.021,0.86,0.758,6.54e-05,0.344,-5.16,0.0695,97.014,4,Hip-Hop,Spanish,2020
2,La Jeepeta,La Jeepeta,Nio Garcia,2020-01-02,204809,78,0.816,0.48,0.816,0.726,1.41e-06,0.314,-5.334,0.267,175.933,4,Hip-Hop,Spanish,2020
3,Caramelo,Caramelo,Ozuna,2020-06-11,217546,93,0.728,0.0531,0.728,0.806,0.000301,0.153,-3.766,0.0623,168.084,4,Hip-Hop,Spanish,2020
4,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie","Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",Tainy,2020-07-09,157944,92,0.76,0.162,0.76,0.658,0.0,0.195,-5.275,0.275,100.202,4,Hip-Hop,Spanish,2020
5,Relación,Relación,Sech,2020-04-02,184254,86,0.805,0.125,0.805,0.562,4.96e-06,0.148,-3.117,0.105,172.094,4,Hip-Hop,Spanish,2020
6,Tattoo - Remix with Camilo,Tattoo (Remix with Camilo),Rauw Alejandro,2020-07-09,222680,92,0.848,0.0413,0.848,0.637,0.0,0.0521,-5.132,0.156,96.988,4,Hip-Hop,Spanish,2020
7,Camarero,Camarero,Andra,2019-06-18,178442,56,0.769,0.328,0.769,0.924,0.0,0.136,-2.771,0.0595,115.084,4,Hip-Hop,Spanish,2019
