,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
62,Crazy,Lil Pump,Lil Pump,2017-10-06,125217,50,0.914,0.027,0.914,0.415,0.0,0.114,-7.219,0.322,137.974,4
63,Secret (feat. Solo Lucci),Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,Chris Brown,2017-12-13,235137,37,0.555,0.228,0.555,0.769,0.0,0.217,-5.057,0.262,174.031,4
64,Pull Up N Wreck (& Metro Boomin),Double Or Nothing (& Metro Boomin),Big Sean,2017-12-08,227533,0,0.487,0.00725,0.487,0.441,0.000644,0.182,-7.858,0.342,173.086,4
65,No Sleep Leak,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,189229,59,0.788,0.0112,0.788,0.689,0.0,0.22,-7.211,0.13,136.045,4
66,Get Right Witcha,Culture,Migos,2017-01-27,257545,65,0.95,0.0646,0.95,0.743,1.19e-05,0.103,-5.861,0.238,136.98,4
67,Whitney (feat. Chief Keef),Lil Pump,Lil Pump,2017-10-06,192000,47,0.868,0.0883,0.868,0.541,1.25e-06,0.223,-7.584,0.149,140.015,4
68,From The D To The A (feat. Lil Yachty),From The D To The A (feat. Lil Yachty),Tee Grizzley,2017-03-17,158684,71,0.851,0.195,0.851,0.625,0.0,0.266,-5.417,0.303,99.061,4
69,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,3,0.906,0.000243,0.906,0.625,3.23e-05,0.0975,-6.779,0.0903,150.018,4
70,I Fall Apart,Stoney,Post Malone,2016-12-09,223346,8,0.565,0.0782,0.565,0.55,0.0,0.196,-5.357,0.0397,143.927,4
71,XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,182706,84,0.732,0.00264,0.732,0.75,0.0,0.109,-6.366,0.231,155.096,4
72,Candy Paint,Candy Paint,Post Malone,2017-10-20,229573,8,0.669,0.627,0.669,0.686,0.0,0.0734,-5.534,0.184,180.046,4
