,Unnamed: 0,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
110,10,Pretty Woman,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,353880,51,0.677,0.124,0.677,0.9420000000000001,0.0132,0.0819,-6.105,0.16,173.99099999999999,4,Throwback,Hindi,2003
111,11,Kal Ho Naa Ho,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,321240,61,0.532,0.33399999999999996,0.532,0.529,0.000144,0.078,-8.402000000000001,0.0352,81.98899999999999,4,Throwback,Hindi,2003
112,12,Kuch To Hua Hai,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,319560,48,0.674,0.128,0.674,0.6609999999999999,2.0300000000000002e-05,0.28300000000000003,-7.973,0.0619,95.96600000000001,4,Throwback,Hindi,2003
113,13,Kal Ho Naa Ho - Sad,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,335160,49,0.585,0.34700000000000003,0.585,0.467,0.00020099999999999998,0.0878,-7.957000000000001,0.0307,77.985,4,Throwback,Hindi,2003
114,14,Heartbeat - Instrumental,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,263626,43,0.517,0.599,0.517,0.285,0.461,0.0842,-11.239,0.0294,139.93,4,Throwback,Hindi,2003
115,15,Dil Chahta Hai,Dil Chahta Hai,Shankar-Ehsaan-Loy,2001-06-22,310080,51,0.813,0.0906,0.813,0.5539999999999999,1.23e-06,0.0629,-9.105,0.04,103.95299999999999,4,Throwback,Hindi,2001
116,16,Jaane Kyon Log Pyar,Dil Chahta Hai,Shankar-Ehsaan-Loy,2001-06-22,289386,45,0.607,0.0185,0.607,0.526,0.00173,0.22699999999999998,-9.111,0.066,190.019,4,Throwback,Hindi,2001
117,17,Woh Ladki Hai Kahan,Dil Chahta Hai,Shankar-Ehsaan-Loy,2001-06-22,306133,48,0.7859999999999999,0.172,0.7859999999999999,0.677,0.00010400000000000001,0.0446,-8.624,0.183,94.985,4,Throwback,Hindi,2001
118,18,Koi Kahe Kehta Rahe,Dil Chahta Hai,Shankar-Ehsaan-Loy,2001-06-22,346200,46,0.7490000000000001,0.0016600000000000002,0.7490000000000001,0.7340000000000001,6.48e-06,0.10800000000000001,-7.058,0.0594,131.975,4,Throwback,Hindi,2001
119,19,Jaane Kyon,Dil Chahta Hai (Original Motion Picture Soundtrack),Various Artists,2001-06-23,291410,0,0.599,0.0292,0.599,0.578,7.94e-05,0.14300000000000002,-7.9639999999999995,0.0725,189.88099999999997,4,Throwback,Hindi,2001
