,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
43,Unchained Melody,The Very Best Of The Righteous Brothers - Unchained Melody,The Righteous Brothers,1990-01-01,216266,65,0.361,0.563,0.361,0.219,0.0,0.558,-16.553,0.0285,98.532,3,romantic,English,1990
44,You're Still The One,Come On Over,Shania Twain,1997-01-01,212560,0,0.556,0.476,0.556,0.513,0.0,0.237,-7.201,0.029,133.803,4,romantic,English,1997
45,Your Song,Rocket Man (Deluxe Edition),Elton John,2007-03-26,240773,0,0.552,0.801,0.552,0.308,1.94e-06,0.104,-11.058,0.0311,128.004,4,romantic,English,2007
46,More Than Words,90s Love Songs,Various Artists,2007-01-01,343920,44,0.614,0.609,0.614,0.128,5.27e-06,0.101,-15.139,0.0288,91.116,4,romantic,English,2007
47,All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,85,0.422,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,4,romantic,English,2013
48,Just The Way You Are,Just The Way You Are,Bruno Mars,2010-07-20,220733,0,0.637,0.0151,0.637,0.843,0.0,0.0876,-5.413,0.0432,109.012,4,romantic,English,2010
49,Halo,I AM...SASHA FIERCE,Beyoncé,2008-11-17,261640,43,0.508,0.272,0.508,0.72,0.0,0.0563,-5.908,0.0628,79.983,4,romantic,English,2008
50,Fallin',Songs In A Minor,Alicia Keys,2001-06-05,210200,2,0.653,0.263,0.653,0.609,0.00101,0.233,-7.519,0.037,95.982,3,romantic,English,2001
51,Yellow,Parachutes,Coldplay,2000-07-10,266773,82,0.429,0.00239,0.429,0.661,0.00013,0.234,-7.227,0.0281,173.365,4,romantic,English,2000
52,Love On Top,4,Beyoncé,2011-01-01,267413,45,0.652,0.0849,0.652,0.748,0.0,0.604,-5.242,0.0887,94.1,4,romantic,English,2011
53,Hero,Escape,Enrique Iglesias,2001-01-01,264240,0,0.555,0.147,0.555,0.638,2.31e-05,0.107,-5.555,0.0418,151.933,4,romantic,English,2001
54,Love,Love,Lana Del Rey,2017-02-18,278360,0,0.322,0.455,0.322,0.352,0.00333,0.11,-10.986,0.0309,70.429,3,romantic,English,2017
55,All I Ask Of You - Edit,Highlights From The Phantom Of The Opera,Andrew Lloyd Webber,1987-01-01,244306,0,0.159,0.723,0.159,0.171,0.000249,0.109,-18.455,0.0428,82.454,4,romantic,English,1987
56,My Girl,The Temptations Sing Smokey,The Temptations,1965-01-01,165000,9,0.572,0.635,0.572,0.418,0.0,0.0961,-10.738,0.0349,104.566,4,romantic,English,1965
57,Because of You,Breakaway,Kelly Clarkson,2004-01-17,219493,72,0.583,0.254,0.583,0.584,0.0,0.123,-5.362,0.0314,140.039,4,romantic,English,2004
58,Make You Feel My Love,19,Adele,2008-01-28,212040,76,0.559,0.907,0.559,0.172,0.000383,0.105,-10.636,0.0291,77.025,4,romantic,English,2008
59,Total Eclipse of the Heart,Ravishing - The Best Of,Bonnie Tyler,2009-03-30,270546,24,0.428,0.205,0.428,0.644,0.0,0.119,-7.582,0.0628,129.432,4,romantic,English,2009
60,Kiss from a Rose,Seal,Seal,1994-05-31,288426,73,0.583,0.684,0.583,0.532,0.0,0.306,-7.11,0.0309,131.741,3,romantic,English,1994
61,A Thousand Miles,Best Of,Vanessa Carlton,2011-01-01,237440,63,0.488,0.273,0.488,0.833,0.0,0.192,-3.876,0.0387,94.841,4,romantic,English,2011
