,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
49,OUT WEST (feat. Young Thug),JACKBOYS,JACKBOYS,2019-12-27,157712,86,0.802,0.0104,0.802,0.591,0.0,0.196,-4.895,0.225,139.864,4,Hip-Hop,English,2019
50,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,100,0.746,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,89.977,4,Hip-Hop,English,2020
51,BUTTERFLY EFFECT,ASTROWORLD,Travis Scott,2018-08-03,190557,83,0.763,0.0531,0.763,0.628,0.0,0.114,-5.85,0.05,140.958,4,Hip-Hop,English,2018
52,Hood Baby – Remix feat. Lil Gotit,Hood Baby – Remix feat. Lil Gotit,KBFR,2020-08-07,131785,50,0.964,0.239,0.964,0.57,4.86e-06,0.122,-7.271,0.395,126.158,4,Hip-Hop,English,2020
53,STARGAZING,ASTROWORLD,Travis Scott,2018-08-03,270714,82,0.487,0.00947,0.487,0.789,4.05e-06,0.189,-3.69,0.044,150.007,4,Hip-Hop,English,2018
54,Zoo York (feat. Fivio Foreign & Pop Smoke),State of Emergency,Lil Tjay,2020-05-08,214825,77,0.565,0.0352,0.565,0.569,8.81e-06,0.106,-6.084,0.379,92.466,5,Hip-Hop,English,2020
55,Say So,Hot Pink,Doja Cat,2019-11-07,237893,90,0.787,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,4,Hip-Hop,English,2019
56,A Letter To My Younger Self (feat. Logic),A Letter to My Younger Self (feat. Logic),Quinn XCII,2020-05-29,212013,58,0.822,0.0358,0.822,0.834,0.0,0.0461,-2.879,0.0663,115.006,4,Hip-Hop,English,2020
57,That's A Fact (feat. Fivio Foreign & Mr. Swipey) - Remix,That's A Fact (feat. Fivio Foreign & Mr. Swipey) [Remix],French Montana,2020-05-22,244163,59,0.75,0.00791,0.75,0.677,6.47e-05,0.292,-5.762,0.286,150.322,4,Hip-Hop,English,2020
58,Hollywood Love (feat. Gunna),Hollywood Love (feat. Gunna),A.CHAL,2020-05-06,154348,56,0.715,0.0874,0.715,0.795,3.21e-05,0.112,-3.631,0.066,83.022,4,Hip-Hop,English,2020
59,3AM,SHAKE THE SNOW GLOBE (DELUXE),Russ,2020-05-19,200547,75,0.569,0.108,0.569,0.657,0.0,0.108,-6.639,0.0425,73.008,4,Hip-Hop,English,2020
60,Rounds (feat. Fivio Foreign),Rounds (feat. Fivio Foreign),Calboy,2020-06-26,167040,59,0.75,0.0142,0.75,0.502,0.0,0.237,-6.589,0.0795,140.016,4,Hip-Hop,English,2020
61,CAN'T SAY,ASTROWORLD,Travis Scott,2018-08-03,198408,81,0.702,0.201,0.702,0.708,0.0,0.118,-5.366,0.0547,147.98,4,Hip-Hop,English,2018
62,CITY OF ANGELS,DROPPED OUTTA COLLEGE,24kGoldn,2019-11-22,112493,83,0.686,0.042,0.686,0.541,0.0,0.0675,-4.993,0.0493,120.082,4,Hip-Hop,English,2019
63,Psycho!,Psycho!,MASN,2019-01-17,197217,78,0.868,0.433,0.868,0.365,0.0,0.207,-9.51,0.0383,114.979,4,Hip-Hop,English,2019
64,witchblades,EVERYBODY'S EVERYTHING,Lil Peep,2019-11-15,150160,79,0.642,0.0242,0.642,0.538,0.0,0.273,-7.206,0.0696,143.921,4,Hip-Hop,English,2019
65,Demons & Goblins (feat. Meek Mill),800 BC,Fivio Foreign,2020-04-24,184790,58,0.777,0.0609,0.777,0.626,0.0,0.129,-5.019,0.309,145.052,4,Hip-Hop,English,2020
66,Butterflies,Butterflies,GASHI,2020-05-01,246791,53,0.678,0.0229,0.678,0.498,0.000476,0.12,-8.384,0.0488,87.005,4,Hip-Hop,English,2020
67,Without Emotion,Without Emotion,G-Tops,2020-07-24,127200,37,0.728,0.139,0.728,0.762,0.0,0.249,-7.457,0.162,100.022,4,Hip-Hop,English,2020
68,DND,DND,Polo G,2020-04-10,180058,58,0.778,0.129,0.778,0.786,0.0,0.118,-4.61,0.358,159.954,4,Hip-Hop,English,2020
69,"Poison (feat. Take A Daytrip, Obongjayar, Santi)","Poison (feat. Take A Daytrip, Obongjayar, Santi)",Octavian,2020-04-22,153872,59,0.845,0.319,0.845,0.461,0.000102,0.0963,-6.839,0.0471,100.034,4,Hip-Hop,English,2020
70,Like That (feat. Gucci Mane),Hot Pink,Doja Cat,2019-11-07,163173,85,0.879,0.24,0.879,0.499,0.0,0.0967,-6.027,0.18,106.043,4,Hip-Hop,English,2019
71,"Go Dumb (feat. blackbear, The Kid LAROI and Bankrol Hayden)","Go Dumb (feat. blackbear, The Kid LAROI and Bankrol Hayden)",Y2K,2020-04-15,186459,66,0.793,0.215,0.793,0.531,0.0,0.105,-8.777,0.0967,138.496,4,Hip-Hop,English,2020
72,Cold (feat. Tory Lanez),Cold (feat. Tory Lanez),French Montana,2020-05-01,219464,77,0.881,0.0121,0.881,0.785,0.0,0.0849,-5.4,0.102,105.972,4,Hip-Hop,English,2020
73,The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,196652,92,0.896,0.104,0.896,0.586,0.0,0.79,-6.687,0.0559,116.971,4,Hip-Hop,English,2019
74,Weak,Weak,Flo Milli,2020-07-10,155818,60,0.864,0.239,0.864,0.699,0.0,0.233,-4.103,0.0994,150.05,4,Hip-Hop,English,2020
75,Unbelievable (feat. Kaash Paige),Unbelievable (feat. Kaash Paige),24kGoldn,2020-04-29,148135,58,0.387,0.681,0.387,0.484,0.0,0.237,-7.683,0.053,102.03,3,Hip-Hop,English,2020
76,玉,玉,LAY,2020-05-19,199499,53,0.739,0.0409,0.739,0.567,5.27e-05,0.271,-8.07,0.0511,146.037,4,Hip-Hop,English,2020
77,Ice Cold,Ice Cold,Lil Tjay,2020-05-01,200000,39,0.595,0.0726,0.595,0.627,0.0,0.128,-6.118,0.162,175.954,4,Hip-Hop,English,2020
